任务编号,物料编号,任务类型,起始设备,目的设备
1,TP001,入库,16,1
2,TP002,入库,16,3
3,TP003,入库,16,5
4,TP004,入库,16,7
5,TP005,入库,16,9
6,TP006,入库,16,11
7,TP007,入库,16,1
8,TP008,入库,16,3
9,TP009,入库,16,5
10,TP010,入库,16,7
11,TP011,入库,16,9
12,TP012,入库,16,11
13,TP013,入库,16,1
14,TP014,入库,16,3
15,TP015,入库,16,5
16,TP016,入库,16,7
17,TP017,入库,16,9
18,TP018,入库,16,11
19,TP019,入库,17,1
20,TP020,入库,17,3
21,TP021,入库,17,5
22,TP022,入库,17,7
23,TP023,入库,17,9
24,TP024,入库,17,11
25,TP025,入库,17,1
26,TP026,入库,17,3
27,TP027,入库,17,5
28,TP028,入库,17,7
29,TP029,入库,17,9
30,TP030,入库,17,11
31,TP031,入库,17,1
32,TP032,入库,17,3
33,TP033,入库,17,5
34,TP034,入库,17,7
35,TP035,入库,17,9
36,TP036,入库,17,11
37,TP037,入库,18,1
38,TP038,入库,18,3
39,TP039,入库,18,5
40,TP040,入库,18,7
41,TP041,入库,18,9
42,TP042,入库,18,11
43,TP043,入库,18,1
44,TP044,入库,18,3
45,TP045,入库,18,5
46,TP046,入库,18,7
47,TP047,入库,18,9
48,TP048,入库,18,11
49,TP049,入库,18,1
50,TP050,入库,18,3
51,TP051,入库,18,5
52,TP052,入库,18,7
53,TP053,入库,18,9
54,TP054,入库,18,11
55,TP055,出库,2,13
56,TP056,出库,2,14
57,TP057,出库,2,15
58,TP058,出库,2,13
59,TP059,出库,2,14
60,TP060,出库,2,15
61,TP061,出库,2,13
62,TP062,出库,2,14
63,TP063,出库,2,15
64,TP064,出库,4,13
65,TP065,出库,4,14
66,TP066,出库,4,15
67,TP067,出库,4,13
68,TP068,出库,4,14
69,TP069,出库,4,15
70,TP070,出库,4,13
71,TP071,出库,4,14
72,TP072,出库,4,15
73,TP073,出库,6,13
74,TP074,出库,6,14
75,TP075,出库,6,15
76,TP076,出库,6,13
77,TP077,出库,6,14
78,TP078,出库,6,15
79,TP079,出库,6,13
80,TP080,出库,6,14
81,TP081,出库,6,15
82,TP082,出库,8,13
83,TP083,出库,8,14
84,TP084,出库,8,15
85,TP085,出库,8,13
86,TP086,出库,8,14
87,TP087,出库,8,15
88,TP088,出库,8,13
89,TP089,出库,8,14
90,TP090,出库,8,15
91,TP091,出库,10,13
92,TP092,出库,10,14
93,TP093,出库,10,15
94,TP094,出库,10,13
95,TP095,出库,10,14
96,TP096,出库,10,15
97,TP097,出库,10,13
98,TP098,出库,10,14
99,TP099,出库,10,15
100,TP100,出库,12,13
101,TP101,出库,12,14
102,TP102,出库,12,15
103,TP103,出库,12,13
104,TP104,出库,12,14
105,TP105,出库,12,15
106,TP106,出库,12,13
107,TP107,出库,12,14
108,TP108,出库,12,15
